Price,Close,Volume
Ticker,^NSEI,^NSEI
Date,,
2015-08-11,8462.349609375,154400
2015-08-12,8349.4501953125,190000
2015-08-13,8355.849609375,189200
2015-08-14,8518.5498046875,155900
2015-08-17,8477.2998046875,174700
2015-08-18,8466.5498046875,153300
2015-08-19,8495.150390625,130500
2015-08-20,8372.75,184100
2015-08-21,8299.9501953125,201300
2015-08-24,7809.0,312400
2015-08-25,7880.7001953125,299100
2015-08-26,7791.85009765625,216600
2015-08-27,7948.9501953125,305000
2015-08-28,8001.9501953125,195600
2015-08-31,7971.2998046875,198200
2015-09-01,7785.85009765625,184900
2015-09-02,7717.0,215300
2015-09-03,7823.0,155800
2015-09-04,7655.0498046875,193600
2015-09-07,7558.7998046875,141400
2015-09-08,7688.25,172200
2015-09-09,7818.60009765625,208400
2015-09-10,7788.10009765625,160300
2015-09-11,7789.2998046875,136400
2015-09-14,7872.25,122800
2015-09-15,7829.10009765625,136500
2015-09-16,7899.14990234375,140000
2015-09-18,7981.89990234375,241800
2015-09-21,7977.10009765625,121800
2015-09-22,7812.0,168400
2015-09-23,7845.9501953125,146700
2015-09-24,7868.5,202500
2015-09-28,7795.7001953125,136300
2015-09-29,7843.2998046875,240700
2015-09-30,7948.89990234375,210700
2015-10-01,7950.89990234375,156900
2015-10-05,8119.2998046875,183100
2015-10-06,8152.89990234375,178500
2015-10-07,8177.39990234375,193900
2015-10-08,8129.35009765625,171700
2015-10-09,8189.7001953125,199700
2015-10-12,8143.60009765625,199100
2015-10-13,8131.7001953125,145900
2015-10-14,8107.89990234375,138900
2015-10-15,8179.5,167200
2015-10-16,8238.150390625,156400
2015-10-19,8275.0498046875,124500
2015-10-20,8261.650390625,155100
2015-10-21,8251.7001953125,144800
2015-10-23,8295.4501953125,152000
2015-10-26,8260.5498046875,133900
2015-10-27,8232.900390625,156700
2015-10-28,8171.2001953125,188900
2015-10-29,8111.75,217500
2015-10-30,8065.7998046875,199500
2015-11-02,8050.7998046875,136100
2015-11-03,8060.7001953125,132500
2015-11-04,8040.2001953125,122100
2015-11-05,7955.4501953125,132100
2015-11-06,7954.2998046875,219500
2015-11-09,7915.2001953125,211800
2015-11-10,7783.35009765625,165200
2015-11-13,7762.25,160900
2015-11-16,7806.60009765625,149500
2015-11-17,7837.5498046875,145000
2015-11-18,7731.7998046875,143600
2015-11-19,7842.75,132600
2015-11-20,7856.5498046875,151900
2015-11-23,7849.25,127000
2015-11-24,7831.60009765625,130600
2015-11-26,7883.7998046875,219800
2015-11-27,7942.7001953125,150300
2015-11-30,7935.25,216300
2015-12-01,7954.89990234375,138600
2015-12-02,7931.35009765625,126300
2015-12-03,7864.14990234375,125700
2015-12-04,7781.89990234375,152500
2015-12-07,7765.39990234375,137600
2015-12-08,7701.7001953125,135100
2015-12-09,7612.5,140000
2015-12-10,7683.2998046875,140800
2015-12-11,7610.4501953125,167800
2015-12-14,7650.0498046875,148900
2015-12-15,7700.89990234375,134300
2015-12-16,7750.89990234375,154300
2015-12-17,7844.35009765625,175900
2015-12-18,7761.9501953125,191400
2015-12-21,7834.4501953125,126300
2015-12-22,7786.10009765625,125700
2015-12-23,7865.9501953125,117900
2015-12-24,7861.0498046875,93500
2015-12-28,7925.14990234375,122900
2015-12-29,7928.9501953125,113000
2015-12-30,7896.25,106800
2015-12-31,7946.35009765625,150900
2016-01-04,7791.2998046875,134700
2016-01-05,7784.64990234375,145200
2016-01-06,7741.0,147100
2016-01-07,7568.2998046875,188900
2016-01-08,7601.35009765625,157400
2016-01-11,7563.85009765625,189000
2016-01-12,7510.2998046875,163900
2016-01-13,7562.39990234375,215200
2016-01-14,7536.7998046875,200800
2016-01-15,7437.7998046875,197500
2016-01-18,7351.0,233600
2016-01-19,7435.10009765625,188300
2016-01-20,7309.2998046875,225600
2016-01-21,7276.7998046875,240700
2016-01-22,7422.4501953125,229200
2016-01-25,7436.14990234375,163200
2016-01-27,7437.75,187600
2016-01-28,7424.64990234375,274500
2016-01-29,7563.5498046875,298700
2016-02-01,7555.9501953125,200400
2016-02-02,7455.5498046875,230200
2016-02-03,7361.7998046875,192000
2016-02-04,7404.0,222700
2016-02-05,7489.10009765625,249800
2016-02-08,7387.25,171500
2016-02-09,7298.2001953125,212100
2016-02-10,7215.7001953125,246900
2016-02-11,6976.35009765625,292300
2016-02-12,6980.9501953125,333900
2016-02-15,7162.9501953125,354200
2016-02-16,7048.25,253800
2016-02-17,7108.4501953125,260000
2016-02-18,7191.75,246700
2016-02-19,7210.75,192300
2016-02-22,7234.5498046875,154400
2016-02-23,7109.5498046875,194400
2016-02-24,7018.7001953125,199700
2016-02-25,6970.60009765625,283100
2016-02-26,7029.75,206700
2016-02-29,6987.0498046875,473400
2016-03-01,7222.2998046875,275100
2016-03-02,7368.85009765625,338500
2016-03-03,7475.60009765625,278600
2016-03-04,7485.35009765625,281700
2016-03-08,7485.2998046875,257000
2016-03-09,7531.7998046875,245100
2016-03-10,7486.14990234375,224700
2016-03-11,7510.2001953125,198700
2016-03-14,7538.75,166900
2016-03-15,7460.60009765625,193700
2016-03-16,7498.75,195400
2016-03-17,7512.5498046875,239600
2016-03-18,7604.35009765625,237400
2016-03-21,7704.25,196800
2016-03-22,7714.89990234375,208900
2016-03-23,7716.5,199600
2016-03-28,7615.10009765625,242400
2016-03-29,7597.0,216800
2016-03-30,7735.2001953125,232600
2016-03-31,7738.39990234375,380100
2016-04-01,7713.0498046875,183900
2016-04-04,7758.7998046875,155500
2016-04-05,7603.2001953125,203800
2016-04-06,7614.35009765625,165600
2016-04-07,7546.4501953125,234400
2016-04-08,7555.2001953125,143400
2016-04-11,7671.39990234375,179800
2016-04-12,7708.9501953125,163400
2016-04-13,7850.4501953125,220400
2016-04-18,7914.7001953125,184600
2016-04-20,7914.75,205300
