Price,log_return,vol_20,vol_60,mean_return_20,ma_diff,volume_change,regime
2020-06-26,0.0091041711267076,0.0128308862667164,0.0225204062333104,0.0040230483487831,676.0526367187504,-0.3918288737344679,0
2020-06-29,-0.0068227607980759,0.0120078345535404,0.0225563274864526,0.0024149926758933,672.8292968750011,-0.1566094226372939,0
2020-06-30,-0.0009993724909477,0.0116255441528519,0.0216789601675081,0.0015927426640223,655.2959635416664,-0.0323721554889458,0
2020-07-01,0.0123433241068104,0.0117844889728566,0.0212513765037256,0.0017984917600489,643.1826334635407,0.0308043474855461,0
2020-07-02,0.0115959587525375,0.0119170802020603,0.020473167089473,0.0025398087350291,631.0143229166661,0.0406546164965987,0
2020-07-03,0.0052601173388212,0.011762543248949,0.0202106058500347,0.0022423537234872,612.2151204427082,-0.1288077633533682,0
2020-07-06,0.014627632603289,0.0120847005542417,0.0173718930768863,0.0028491646233358,609.1676269531254,0.0839602685967334,0
2020-07-07,0.0033390095340367,0.0115718101480239,0.0173374827980823,0.003613723894141,612.6359537760418,0.1087162235047986,0
2020-07-08,-0.0087327820609896,0.0118625814143534,0.016704319402069,0.002832389249988,615.5517740885407,0.1872038818063246,0
2020-07-09,0.0100097674252966,0.0104852204254966,0.0166012341295886,0.0044026995396431,630.797607421875,-0.2160390137995547,0
2020-07-10,-0.0042073495908376,0.0106353287580523,0.0165694598979906,0.0038355972338124,639.8425781250007,-0.0463122282237535,0
2020-07-13,0.0032127228240942,0.0095524498081698,0.0165593720198955,0.0048008366219174,659.1275716145847,-0.0639630984398855,0
2020-07-14,-0.0182490007348894,0.0107503781420183,0.0163992701904093,0.003379961031604,671.4517252604182,-0.0399500893523474,0
2020-07-15,0.0010224080867197,0.0106513703987203,0.0163960340757549,0.0035970293518754,685.6983723958328,0.2961454058811828,0
2020-07-16,0.0114009234448232,0.0100162086880759,0.0158511430121985,0.0031131031906121,688.8050292968746,-0.0304923290559988,0
2020-07-17,0.0149483065306169,0.0100115554995821,0.0157195690513195,0.0031093752669955,693.0966796875,-0.0255246118315784,0
2020-07-20,0.0109926802508403,0.0101412084494408,0.0156919287531925,0.0033340368246624,700.1750162760418,-0.1998174950888029,0
2020-07-21,0.0126261109917779,0.0099866353119607,0.0155172269972073,0.0031964009114957,701.2733561197929,0.3312784935990171,0
2020-07-22,-0.0026598437419676,0.0090430427583159,0.0154730944379226,0.0038609699372855,711.8000162760418,-0.00897800578697,0
2020-07-23,0.0074146036213252,0.0089812258342516,0.0154524096292712,0.0043113313609994,727.5516764322911,-0.2077097451843684,0
2020-07-24,-0.0019009541040186,0.0090092101144581,0.0153339427549305,0.0037610750994631,740.7625162760414,0.0881770422541636,0
2020-07-27,-0.0055854955772852,0.0089366652519734,0.0148892211333844,0.0038229383605026,760.5341634114593,-0.1435768398416911,0
2020-07-28,0.0150455200834502,0.0091973550556804,0.0126317582026709,0.0046251829892225,777.0058430989593,0.15091470663814,0
2020-07-29,-0.0086832044688866,0.0094664871203955,0.0126181514277276,0.0035738565604377,782.3583333333336,-0.1297160662479346,0
2020-07-30,-0.0090293569074517,0.0096678791922549,0.0127069025329035,0.0025425907774382,779.3600097656235,0.1207566173168352,0
2020-07-31,-0.002588449519166,0.0097109609727522,0.0126497663398408,0.0021501624345388,771.4250325520843,-0.0533298124911928,0
2020-08-03,-0.0165585548501213,0.0100980780440828,0.012895997507542,0.0005908530618683,750.4875000000011,0.0578930058071628,0
2020-08-04,0.0185252747319563,0.0108579643522387,0.0130442042936019,0.0013501663217643,734.3333170572914,-0.0845444294846031,0
2020-08-05,0.0005766923029565,0.0105994327205134,0.0130095432082011,0.0018156400399616,722.3766601562493,0.0648181687833621,0
