Price,log_return,vol_20,vol_60,mean_return_20,ma_diff,volume_change,regime,regime_label,cum_return,rolling_max,drawdown,regime_change,regime_block,date,regime_start_date,regime_duration_days
2022-05-20,0.0284815608605715,0.0149356773191462,0.0145457125022277,-0.0033479260269254,-382.2642252604164,-0.2180593331808497,2,Uncertain / Transition,1.8955753899459276,2.1532226063706577,-0.11965656298723555,False,162,2022-05-20,2022-04-29,22
2022-05-23,-0.0031680351601504,0.014770363196101,0.0145430643545599,-0.0028679471449848,-413.5941731770836,0.1518841330727188,2,Uncertain / Transition,1.8895796428453415,2.1532226063706577,-0.12244110885018843,False,162,2022-05-23,2022-04-29,25
2022-05-24,-0.0055380610571896,0.0146025258483037,0.0145362781816825,-0.0025060304877941,-438.9166341145829,-0.1622386660482996,2,Uncertain / Transition,1.879143958810481,2.1532226063706577,-0.12728765096059766,False,162,2022-05-24,2022-04-29,26
2022-05-25,-0.0061802778185587,0.0140599640587184,0.0145515909945655,-0.0035378014207453,-480.3758463541672,-0.0263653479020003,2,Uncertain / Transition,1.8675661410012732,2.1532226063706577,-0.132664623027932,False,162,2022-05-25,2022-04-29,27
2022-05-26,0.0089670627708302,0.0142532173792463,0.0131752681248647,-0.0026151334532066,-522.4916829427093,0.2560526940140449,2,Uncertain / Transition,1.8843880325771127,2.1532226063706577,-0.1248521973520779,False,162,2022-05-26,2022-04-29,28
2022-05-27,0.0112107710150345,0.0142086351967287,0.0128482779414923,-0.0026573722961272,-562.0225423177089,-0.1368549404947818,2,Uncertain / Transition,1.9056323353198648,2.1532226063706577,-0.1149859147485527,False,162,2022-05-27,2022-04-29,29
2022-05-30,0.018716945110386,0.0149109309590451,0.0130377505537902,-0.0013066465305914,-581.8717285156235,-0.0864477071525931,2,Uncertain / Transition,1.9416358378628447,2.1532226063706577,-0.09826516212573623,False,162,2022-05-30,2022-04-29,32
2022-05-31,-0.00462310407988,0.0149289563974127,0.0129697925237516,-0.0014399101133796,-605.7425292968746,0.9523855805717428,2,Uncertain / Transition,1.9326801707406371,2.1532226063706577,-0.10242435453608467,False,162,2022-05-31,2022-04-29,33
2022-06-01,-0.0037333670564133,0.0140436565016046,0.0129511137783501,-0.0004664129566912,-613.8966634114586,-0.9595712402326174,2,Uncertain / Transition,1.9254782183915153,2.1532226063706577,-0.1057690864406326,False,162,2022-06-01,2022-04-29,34
2022-06-02,0.0063498022602603,0.0141259415299667,0.0128149918584108,-0.0001640629618984,-623.0066894531265,-0.0560278314696625,2,Uncertain / Transition,1.9377435242568044,2.1532226063706577,-0.1000728310562612,False,162,2022-06-02,2022-04-29,35
2022-06-03,-0.0026315095876877,0.0136193200216426,0.0124229285388311,0.000524471826826,-626.3733235677082,0.0394651422089652,2,Uncertain / Transition,1.9326510369974894,2.1532226063706577,-0.10243788483390967,False,162,2022-06-03,2022-04-29,36
2022-06-06,-0.0008897910968418,0.0135190384100736,0.0123719214577457,0.0008144073181461,-622.2566080729157,-0.0496866962805032,2,Uncertain / Transition,1.9309321461517601,2.1532226063706577,-0.10323617240559115,False,162,2022-06-06,2022-04-29,39
2022-06-07,-0.0092889550768917,0.0136725198708689,0.0121539245798117,0.0005398682054519,-614.6249511718743,0.000855798083896,2,Uncertain / Transition,1.9130788517862725,2.1532226063706577,-0.11152760233608965,False,162,2022-06-07,2022-04-29,40
2022-06-08,-0.0036676783326505,0.0136575894762656,0.0120000278581452,0.0005815899209113,-601.1899251302093,0.0406508934846765,2,Uncertain / Transition,1.9060751454549778,2.1532226063706577,-0.11478026479215575,False,162,2022-06-08,2022-04-29,41
2022-06-09,0.0074221155706157,0.0125973905721818,0.0120371133065423,0.0020758030930711,-565.1457845052082,-0.1721069633842362,2,Uncertain / Transition,1.9202748863438175,2.1532226063706577,-0.10818561877328736,False,162,2022-06-09,2022-04-29,42
2022-06-10,-0.0169098677448552,0.0132787941079286,0.0120745676510699,0.0013121377909272,-533.0049641927089,-0.0775661021974396,2,Uncertain / Transition,1.888076296177434,2.1532226063706577,-0.12313929335905419,False,162,2022-06-10,2022-04-29,43
2022-06-13,-0.0267339375202159,0.0146609863217274,0.0124461906884543,-0.000214758396764,-521.5899414062515,0.1728762820017644,2,Uncertain / Transition,1.8382693171739002,2.1532226063706577,-0.14627065880922724,False,162,2022-06-13,2022-04-29,46
2022-06-14,-0.0026852114114221,0.0133035757267951,0.0121818825405506,-0.0016480927279833,-527.2291178385422,-0.0004435573370571,2,Uncertain / Transition,1.8333397967903189,2.1532226063706577,-0.14856002748341657,False,162,2022-06-14,2022-04-29,47
2022-06-15,-0.0025425739848417,0.0133045182581283,0.0119114978727376,-0.0017167591618652,-528.0549153645843,-0.208390448764255,2,Uncertain / Transition,1.828684315678223,2.1532226063706577,-0.15072212679368843,False,162,2022-06-15,2022-04-29,48
2022-06-16,-0.021354848179315,0.0128012540428797,0.0121368006802428,-0.0014399480259608,-521.2116210937493,0.3691109563916347,2,Uncertain / Transition,1.7900470544724576,2.1532226063706577,-0.16866605005153038,False,162,2022-06-16,2022-04-29,49
2022-06-17,-0.004377862497838,0.0106941143639643,0.0120143602666853,-0.0030829191938812,-536.1441406250015,0.2579664766569639,2,Uncertain / Transition,1.78222760333302,2.1532226063706577,-0.17229756084669967,False,162,2022-06-17,2022-04-29,50
2022-06-20,0.0036973698916184,0.0108008916410452,0.0120343538738402,-0.0027396489412928,-547.7799641927086,-0.2758819548744918,2,Uncertain / Transition,1.78882935505182,2.1532226063706577,-0.1692315742184395,False,162,2022-06-20,2022-04-29,53
2022-06-21,0.0186297219218027,0.0117789749321643,0.0123239044498226,-0.0015312597923432,-545.6983235677089,0.0107116555949278,2,Uncertain / Transition,1.8224671066082385,2.1532226063706577,-0.1536095240612027,False,162,2022-06-21,2022-04-29,54
2022-06-22,-0.0145242329496379,0.0120958097618341,0.0124327617944977,-0.0019484575488971,-547.3283203125011,-0.173683176184384,2,Uncertain / Transition,1.796188470288783,2.1532226063706577,-0.16581385269945217,False,162,2022-06-22,2022-04-29,55
2022-06-23,0.0092574646586046,0.0121097689014903,0.0124924763314195,-0.0019339374545084,-550.2474934895836,0.1598898540520482,2,Uncertain / Transition,1.8128938268920307,2.1532226063706577,-0.15805554821489853,False,162,2022-06-23,2022-04-29,56
2022-06-24,0.0091247154617346,0.0119990710523919,0.0125317546158059,-0.0020382402321734,-555.8066569010425,-0.165792254842744,2,Uncertain / Transition,1.8295116684621506,2.1532226063706577,-0.150337887476546,False,162,2022-06-24,2022-04-29,57
2022-06-27,0.0084234136068693,0.0112599594726528,0.0125096169348904,-0.0025529168073492,-569.5041829427082,-0.0404236221506466,2,Uncertain / Transition,1.8449874900616077,2.1532226063706577,-0.14315060384239256,False,162,2022-06-27,2022-04-29,60
