Price,log_return,vol_20,vol_60,mean_return_20,ma_diff,volume_change
2022-09-30,0.016292312526781774,0.009829927720550628,0.00919698632982413,-0.0012852304153930711,337.75589192708503,0.10090944786608365
2022-10-03,-0.012183178897324074,0.00990565456426424,0.009264544573318616,-0.0022532906747270726,283.87416992187354,-0.30079613701602614
2022-10-04,0.022655095268550494,0.011366964413665154,0.009628501449936797,-0.0010916549155128175,245.785888671875,-0.20852392918797868
2022-10-06,0.0033231164632058175,0.01140795030693055,0.009616488654277647,-0.0008370659095774686,212.63588867187718,0.16107984140970763
2022-10-07,-0.0009900230150986376,0.011127861877012615,0.009618648947639264,-0.0013787621795080236,170.12006835937427,-0.20494850772298046
2022-10-10,-0.004262718329192525,0.011116894107080763,0.009539132442439016,-0.0016890004857477033,120.79091796875218,0.07865478239868831
2022-10-11,-0.015044993668578569,0.011354084656491823,0.009727587894332573,-0.0027292041831408235,56.20263671875,0.18871135489272559
2022-10-12,0.008212331644389038,0.011392371374400601,0.009764275632776062,-0.002689915434123117,-10.869075520833576,-0.09885502577086465
2022-10-13,-0.0064005234917517235,0.011421037251198486,0.009783402010166416,-0.002826149342667494,-76.42491861979215,0.03982149418667151
2022-10-14,0.010020514532698735,0.011722810716083908,0.009702493503591987,-0.0019729884970620714,-126.12996419270712,-0.16004892118483136
2022-10-17,0.007310797834822186,0.011124343618207567,0.009730778076273216,-0.0006286884367971208,-153.26992187499854,-0.06742079130151989
2022-10-18,0.010066448739082915,0.011310209684738571,0.009715654848869468,-0.0003853732185734499,-176.13662109375218,0.12102419067108709
2022-10-19,0.0014457922593648584,0.011004481846184825,0.009700654657214989,-0.0008605163071681053,-206.45328776041424,-0.12906776372853385
2022-10-20,0.0029478254394111857,0.010978882152172876,0.009672996595236554,-0.0004376171093896495,-228.2483072916657,0.1703739833728364
2022-10-21,0.0007029866326317706,0.01092785564520994,0.009639550989292601,-0.00015196241221646618,-246.67832031249782,0.10668175781748125
2022-10-24,0.008748972260095097,0.010311003226614967,0.009604211531746568,0.0011507132453336603,-247.28997395833358,-1.819878904542434
